"","conflict_id","year","incompatibility","intensity_level","peripheral","duration","country","duration2","ep_end","Tonnage_mt_Combined","Tonnage_mt_emergency","Tonnage_mt_development","Value_Combined","Value_emergency","Value_development","commodities_Combined","commodities_emergency","commodities_development","partners_Combined","partners_emergency","partners_development","Value","Tonnage_mt","binary_emergency","n","frac_emergency","sum_tonnage_emergency","instrument_emergency","Value_t1","Tonnage_mt_t1","t1_commodities","sum_tonnage_t1","wheat_binary","n_partners_emergency","n_partners_development","inflation_adjustment","bd_best","lagged_deaths","population","gdp_pc","current_polity","democracy","lootable","Diamonds","Drugs","guarantee","rugged_terrain","forest_cover"
"60",222,2017,2,1,0,0,"Myanmar (Burma)",1,0,NA,0.2,0,NA,1322484.41144034,0,NA,"na",NA,NA,"UNICEF",NA,1322484.41144034,0.2,1,29,0.137931034482759,1129.763,155.829379310345,0,0,NA,0,0,1,0,1.02438761536819,46,106,17.7929950522142,1291.542413,8,TRUE,1,1,1,FALSE,226.941284179688,69.5004272460938
"61",222,2018,2,1,0,1,"Myanmar (Burma)",2,0,NA,0,0,NA,0,0,NA,"na",NA,NA,"UNICEF",NA,0,0,0,29,0.137931034482759,1209.882,166.880275862069,0,0,NA,0,0,1,0,1,46,46,17.7990798787317,1418.177623,8,TRUE,1,1,1,FALSE,226.941284179688,69.5004272460938
"62",222,2019,2,1,0,2,"Myanmar (Burma)",3,0,NA,0.14,0,NA,1085841.62140853,0,NA,"na",NA,NA,"UNICEF",NA,1085841.62140853,0.14,1,29,0.137931034482759,1315.526,181.451862068966,0,0,NA,0,0,1,0,0.982211439103084,49,46,17.8053353621039,1407.813143,NA,NA,1,1,1,FALSE,226.941284179688,69.5004272460938
"63",223,1991,1,1,1,0,"Myanmar (Burma)",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,29,0.137931034482759,NA,NA,0,0,NA,1581,0,0,0,1.84405569155447,25,0,17.5505623957052,NA,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"64",223,1994,1,1,1,0,"Myanmar (Burma)",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,29,0.137931034482759,NA,NA,0,0,NA,1031.2,0,0,0,1.69403890481813,109,25,17.5855880828319,NA,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"65",223,2016,1,1,1,0,"Myanmar (Burma)",1,0,NA,0.14,0,NA,943378.263303085,0,NA,"na",NA,NA,"UNICEF",NA,943378.263303085,0.14,1,29,0.137931034482759,1388.714,191.54675862069,0,0,NA,0,0,1,0,1.04622187346466,86,109,17.7866554283999,1266.546338,8,TRUE,1,1,1,FALSE,226.941284179688,69.5004272460938
"66",223,2017,1,1,1,1,"Myanmar (Burma)",2,0,NA,0.2,0,NA,1322484.41144034,0,NA,"na",NA,NA,"UNICEF",NA,1322484.41144034,0.2,1,29,0.137931034482759,1129.763,155.829379310345,0,0,NA,0,0,1,0,1.02438761536819,393,86,17.7929950522142,1291.542413,8,TRUE,1,1,1,FALSE,226.941284179688,69.5004272460938
"67",223,2018,1,1,1,2,"Myanmar (Burma)",3,0,NA,0,0,NA,0,0,NA,"na",NA,NA,"UNICEF",NA,0,0,0,29,0.137931034482759,1209.882,166.880275862069,0,0,NA,0,0,1,0,1,27,393,17.7990798787317,1418.177623,8,TRUE,1,1,1,FALSE,226.941284179688,69.5004272460938
"68",223,2019,1,1,1,3,"Myanmar (Burma)",4,0,NA,0.14,0,NA,1085841.62140853,0,NA,"na",NA,NA,"UNICEF",NA,1085841.62140853,0.14,1,29,0.137931034482759,1315.526,181.451862068966,0,0,NA,0,0,1,0,0.982211439103084,480,27,17.8053353621039,1407.813143,NA,NA,1,1,1,FALSE,226.941284179688,69.5004272460938
"69",224,1996,1,1,1,0,"Myanmar (Burma)",1,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,29,0.137931034482759,824.79,113.764137931034,0,0,NA,469.945,0,0,0,1.60080061626733,80,0,17.6099251474891,NA,-5,FALSE,1,1,1,FALSE,226.941284179688,69.5004272460938
"70",227,1991,2,1,0,0,"India",1,0,210213,NA,NA,208193887.576499,NA,NA,"food",NA,NA,"PVO and WFP",NA,NA,208193887.576499,210.213,NA,29,0.0344827586206897,NA,NA,0,0,NA,1581,0,0,0,1.84405569155447,78,0,20.6081615703074,303.0556053,8,TRUE,1,1,1,FALSE,114.994522094727,40.251579284668
"71",227,1992,2,1,0,1,"India",2,0,249803,NA,NA,202995779.234899,NA,NA,"csb, vegetable oil, bulgur",NA,NA,"CARE, CRS  ",NA,NA,202995779.234899,249.803,NA,29,0.0344827586206897,NA,NA,0,0,NA,1740.15,0,0,0,1.78962226049771,322,78,20.6281933464917,316.9539279,8,TRUE,1,1,1,FALSE,114.994522094727,40.251579284668
"72",227,1993,2,1,0,2,"India",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,29,0.0344827586206897,NA,NA,0,0,NA,1814.695,0,0,0,1.73800945953741,182,322,20.6478996920868,301.1590042,8,TRUE,1,1,1,FALSE,114.994522094727,40.251579284668
